,display_name,purchase_end,distance,items_available,category,description,badges,rating,addres_line,pickup_interval.start,pickup_interval.end
0,Sara's Bakery (Baked Goods),2023-02-26T18:30:00Z,11.268020544019821,4,BAKED_GOODS,"Save a surprise bag filled with baked goods. Your surprise bag may contain baked goods like pastries or bread that the store has left at the end of their day, however still good to enjoy! ","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 79, 'user_count': 102, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 88, 'user_count': 102, 'month_count': 6}]",3.9361702127659575,"4000 Steeles Ave W Unit 6, Vaughan, ON L4K 4V9, Canada",0-02-26 08:30:00,0-02-26 13:30:00
1,Cuppa Tea - Bloor West,,11.272781431992637,0,OTHER,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 39, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 87, 'user_count': 39, 'month_count': 6}]",4.2727272727272725,"346 Bloor St W, Toronto, ON M5S 2J2, Canada",NaT,NaT
5,Homegrown Juice (Prepared food ),,11.311759890914903,0,MEAL,"It's a surprise! When you buy a Surprise Bag, it will be filled with the delicious food that the store has left over at the end of the day. Some items may be left over from the day, however still great to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 94, 'user_count': 240, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 90, 'user_count': 240, 'month_count': 6}]",4.145833333333333,"676 Pape Ave, Toronto, ON M4K 3S5, Canada",NaT,NaT
6,Freshii,,11.314875552422718,0,MEAL,"Your bag will contain food that the store has that day. Though it may not be a menu item, they will still be perfect to enjoy!","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 91, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 93, 'user_count': 91, 'month_count': 6}]",4.2023809523809526,"382 Bloor St W, Toronto, ON M5S 1X2, Canada",NaT,NaT
7,Metro - 425 Bloor St. W (Baked Goods),2023-02-26T23:00:00Z,11.331831273901045,4,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods. You may receive surplus bread, pastries, muffins, cookies and other items from the bakery! Items may be close to, on, or just past the ""best before"" date, however everything will still be good to eat!","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 358, 'month_count': 3}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 358, 'month_count': 3}]",4.5363128491620115,"425 Bloor St W, Toronto, ON M5S 1X6, Canada",0-02-26 16:00:00,0-02-26 18:00:00
9,Masellis Supermarket (Assorted Groceries),,11.33575575765423,0,GROCERIES,"It's a surprise. When you buy a bag, it will be filled with delicious food that the store has left at the end of the day. Your surprise bag may contain some items close to or past 'best before' date however still good to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 85, 'user_count': 103, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 91, 'user_count': 103, 'month_count': 6}]",4.147368421052631,"906 Danforth Ave, Toronto, ON M4J 1L9, Canada",NaT,NaT
10,Cheese Baker,2023-02-27T02:00:00Z,11.34542260342849,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 86, 'user_count': 131, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 91, 'user_count': 131, 'month_count': 6}]",4.471074380165289,"690 Yonge St, Toronto, ON M4Y 2A6, Canada",0-02-26 20:30:00,0-02-26 21:30:00
11,Victory Cafe (Prepared Food),2023-02-27T03:00:00Z,11.360081803573202,0,MEAL,Victory Café serves homemade pizza cooked in our Italian-style Napolitano wood fire pizza oven.,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 88, 'user_count': 16, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 94, 'user_count': 16, 'month_count': 6}]",4.133333333333334,"440 Bloor St W, Toronto, ON M5S 1X5, Canada",0-02-26 21:00:00,0-02-26 22:00:00
12,Pizza Alps (Pizza),,11.360858923370678,0,MEAL,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 94, 'user_count': 36, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 94, 'user_count': 36, 'month_count': 6}]",4.2,"1929 Weston Rd, Toronto, ON M9N 1W7, Canada",NaT,NaT
13,The Nutrition Bar,,11.362194201833978,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 85, 'user_count': 96, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 85, 'user_count': 96, 'month_count': 6}]",4.166666666666667,"5 Isabella St, Toronto, ON M4Y 1M7, Canada",NaT,NaT
