,display_name,purchase_end,distance,items_available,category,description,badges,rating,addres_line,pickup_interval.start,pickup_interval.end,id
3,Bake Code (Yonge St.) - North York,2023-02-26T15:33:00Z,0.4458392208565088,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 813, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 813, 'month_count': 6}]",4.50334672021419,"4910 Yonge St, North York, ON M2N 5N5, Canada",0-02-26 10:00:00,0-02-26 11:00:00,374970
4,Longo's - Yonge & Sheppard (Prepared Foods),,0.593526198664009,0,MEAL,"Your Surprise Bag will contain an assortment of surplus prepared foods. You may receive surplus salads, sides, pasta, and/or other foods.  Items may be close to, or on the ""best before"" date, however everything will still be good to eat!","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 182, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 85, 'user_count': 182, 'month_count': 6}]",4.27810650887574,"4841 Yonge St Level 3, North York, ON M2N 5X2, Canada",NaT,NaT,518632
5,Kin-Kin Bakery (Yonge Sheppard Centre),,0.6117518694963665,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 92, 'user_count': 197, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 91, 'user_count': 197, 'month_count': 6}]",4.254335260115607,"4841 Yonge St, North York, ON M2N 5X2, Canada",NaT,NaT,507832
6,Torch Pressed Sushi - North York,2023-02-27T02:00:00Z,0.6392037447922703,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 94, 'user_count': 143, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 99, 'user_count': 143, 'month_count': 6}]",4.653846153846154,"5317 Yonge St, North York, ON M2N, Canada",0-02-26 21:15:00,0-02-26 21:30:00,379596
7,Take a Bao,,0.6606271252367253,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 99, 'user_count': 92, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 100, 'user_count': 92, 'month_count': 6}]",4.835164835164835,"5330 Yonge St, North York, ON M2N 5P9, Canada",NaT,NaT,515991
8,Metro - 20 Church Ave (Baked Goods),2023-02-27T01:00:00Z,0.702919859540854,4,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods. You may receive surplus bread, pastries, muffins, cookies and other items from the bakery! Items may be close to, on, or just past the ""best before"" date, however everything will still be good to eat!","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 92, 'user_count': 213, 'month_count': 3}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 93, 'user_count': 213, 'month_count': 3}]",4.103286384976526,"20 Church Ave, North York, ON M2N 0B7, Canada",0-02-26 16:00:00,0-02-26 20:00:00,766170
9,Tim Hortons - 5383 Yonge Street (Baked Goods),2023-02-27T02:00:00Z,0.8166885026277397,3,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods such as Donuts, Timbits, Cookies, Muffins, Bagels, and/or other baked goods.","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 123, 'month_count': 4}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 123, 'month_count': 4}]",4.504065040650406,"5383 Yonge St, North York, ON M2N 5R6, Canada",0-02-26 20:00:00,0-02-26 21:00:00,790945
10,Sun Tea - North York,2023-02-27T04:00:00Z,0.9140610020199768,0,OTHER,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 92, 'user_count': 88, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 90, 'user_count': 88, 'month_count': 6}]",4.0,"5373 Yonge St, North York, ON M2N 5R6, Canada",0-02-26 22:00:00,0-02-26 23:00:00,516046
11,Tim Hortons - 4696 Yonge St (Baked Goods),2023-02-27T03:00:00Z,1.0383499358009425,2,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods such as Donuts, Timbits, Cookies, Muffins, Bagels, and/or other baked goods.","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 217, 'month_count': 4}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 217, 'month_count': 4}]",4.442396313364055,"4696 Yonge St, North York, ON M2N 5M2, Canada",0-02-26 20:00:00,0-02-26 22:00:00,790955
12,Yin Ji Chang Fen (North York)  (Prepared Foods),2023-02-27T04:30:00Z,1.0690198154537012,1,MEAL,Save a Surprise Bag and enjoy a delicious prepared food that the store may have left at the end of the day however still great to enjoy!,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 91, 'user_count': 171, 'month_count': 4}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 171, 'month_count': 4}]",4.087719298245614,"4679 Yonge St, North York, ON M2N 5M3, Canada",0-02-26 23:30:00,0-02-26 23:55:00,791509
13,Basil Box  - Yonge and Finch ,2023-02-27T03:00:00Z,1.3774388266975472,0,MEAL,"Your Surprise Bags may include rice, noodle, salad, proteins, veggies, peanuts and/or seeds ","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 89, 'user_count': 207, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 93, 'user_count': 207, 'month_count': 6}]",4.055276381909548,"5607 Yonge St, North York, ON M2M 3S9, Canada",0-02-26 22:00:00,0-02-26 22:30:00,506278
14,Brioche Dorée - North American Centre (Baked goods),,1.4202111378172764,0,BAKED_GOODS,"Save a surprise bag filled with baked goods. Your surprise bag may contain baked goods like pastries or bread that the store has left at the end of their day, however still good to enjoy! ","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 28, 'month_count': 5}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 28, 'month_count': 5}]",4.392857142857143,"5650 Yonge St, North York, ON M2M 4G3, Canada",NaT,NaT,508682
16,Tim Hortons - Finch TTC Station (Baked Goods),,1.5296071247607115,0,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods such as Donuts, Timbits, Cookies, Muffins, Bagels, and/or other baked goods.","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 95, 'user_count': 110, 'month_count': 4}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 110, 'month_count': 4}]",4.636363636363637,"5695 Yonge St, North York, ON M2N 5S4, Canada",NaT,NaT,790941
17,GOA India Farm Kitchen,2023-02-27T02:00:00Z,2.0400181239784616,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 93, 'user_count': 27, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 96, 'user_count': 27, 'month_count': 6}]",4.125,"2901 Bayview Ave, North York, ON M2K 1E6, Canada",0-02-26 20:30:00,0-02-26 21:00:00,506814
